country,confirmed,deaths,incident_rate,case_fatality_ratio,last_update,lat,long
China,40774,20,189.29433611884863,0.04905086574778045,2023-03-10 04:21:03,40.1824,116.4142
China,14715,11,47.437137330754354,0.07475365273530411,2023-03-10 04:21:03,30.0572,107.874
China,17122,2,43.44582593250444,0.011680878402055835,2023-03-10 04:21:03,26.0789,117.9874
China,1742,2,6.6059916571861965,0.1148105625717566,2023-03-10 04:21:03,35.7518,104.2861
China,103248,10,90.99947117927024,0.009685417635208431,2023-03-10 04:21:03,23.3417,113.4244
China,13371,2,27.143727161997564,0.01495774437214868,2023-03-10 04:21:03,23.8298,108.7881
China,2534,2,7.038888888888889,0.07892659826361484,2023-03-10 04:21:03,26.8154,106.8748
China,10483,6,112.23768736616702,0.057235524182008966,2023-03-10 04:21:03,19.1959,109.7453
China,3292,7,4.356802541026998,0.212636695018226,2023-03-10 04:21:03,37.8957,114.9042
China,6603,18,17.500662602703418,0.2726033621081327,2023-03-10 04:21:03,47.862,127.7615
China,9948,23,10.35710567412806,0.2312022517088862,2023-03-10 04:21:03,33.882,113.614
China,2876106,13467,38363.48677628936,0.4682372624652916,2023-03-10 04:21:03,22.3,114.2
China,72131,4515,121.90468142639853,6.259444621591271,2023-03-10 04:21:03,30.9756,112.2707
China,7437,4,10.779823162777214,0.053785128411994086,2023-03-10 04:21:03,27.6104,111.7088
China,8847,1,34.913180741910026,0.011303266644060133,2023-03-10 04:21:03,44.0935,113.9448
China,5075,0,6.303564774562166,0.0,2023-03-10 04:21:03,32.9711,119.455
China,3423,2,7.364457831325301,0.05842827928717499,2023-03-10 04:21:03,27.614,115.7221
China,40764,5,150.75443786982248,0.012265724659012855,2023-03-10 04:21:03,43.6661,126.1923
China,3547,2,8.137187428309245,0.05638567803777841,2023-03-10 04:21:03,41.2956,122.6085
China,3514,121,541.1632082939345,3.4433693796243596,2023-03-10 04:21:03,22.1667,113.55
China,1276,0,18.546511627906977,0.0,2023-03-10 04:21:03,37.2692,106.1655
China,782,0,12.96849087893864,0.0,2023-03-10 04:21:03,35.7452,95.9956
China,7326,5,18.959627329192543,0.06825006825006825,2023-03-10 04:21:03,35.1917,108.8701
China,5880,10,5.85249328157659,0.17006802721088435,2023-03-10 04:21:03,36.3427,118.1498
China,67040,595,276.5676567656766,0.8875298329355609,2023-03-10 04:21:03,31.202,121.4491
China,7167,1,19.2764927380312,0.013952839402818473,2023-03-10 04:21:03,37.5777,112.2922
China,14567,12,17.464332813811293,0.08237797762064941,2023-03-10 04:21:03,30.6171,102.7103
China,4392,3,28.15384615384616,0.06830601092896176,2023-03-10 04:21:03,39.3054,117.323
China,1647,0,47.877906976744185,0.0,2023-03-10 04:21:03,31.6927,88.0924
China,1521816,82195,,5.401112880926472,2023-03-10 04:21:03,,
China,3089,3,12.420587052673904,0.09711880867594691,2023-03-10 04:21:03,41.1129,85.2401
China,9743,4,20.17184265010352,0.041055116493893054,2023-03-10 04:21:03,24.974,101.487
China,11848,1,20.65190866306432,0.008440243079000676,2023-03-10 04:21:03,29.1832,120.0934
Colombia,7851,265,10250.819308255755,3.3753661953891223,2023-03-10 04:21:03,-1.4429,-71.5724
Colombia,950809,18617,14839.922948003636,1.9580168046368933,2023-03-10 04:21:03,7.1986,-75.3412
Colombia,17130,569,6533.828678663788,3.321657910099241,2023-03-10 04:21:03,7.0762,-70.7105
Colombia,417897,10230,16481.727395241287,2.447971629372788,2023-03-10 04:21:03,10.6966,-74.8741
Colombia,203497,3276,9830.250566395023,1.6098517422861272,2023-03-10 04:21:03,8.6704,-74.03
Colombia,130254,2903,10699.57022316852,2.2287223425000384,2023-03-10 04:21:03,5.4545,-73.362
Colombia,119792,2580,12000.140244727048,2.1537331374382265,2023-03-10 04:21:03,5.2983,-75.2479
Colombia,1874877,30051,25293.22504514631,1.6028251453295337,2023-03-10 04:21:03,4.711,-74.0721
Colombia,25704,1041,6402.167929881018,4.049953314659197,2023-03-10 04:21:03,0.8699,-73.8419
Colombia,43079,1029,10244.611228430644,2.388634833677662,2023-03-10 04:21:03,5.7589,-71.5724
Colombia,76788,1854,5243.334189150065,2.414439756211908,2023-03-10 04:21:03,2.705,-76.826
Colombia,109404,2694,9112.6411199976,2.462432817812877,2023-03-10 04:21:03,9.3373,-73.6536
Colombia,18891,430,3532.176820124676,2.276216187602562,2023-03-10 04:21:03,5.2528,-76.826
Colombia,122594,3961,6868.846240691445,3.230990097394652,2023-03-10 04:21:03,8.0493,-75.574
Colombia,330221,7398,11312.580077148124,2.2403178477443895,2023-03-10 04:21:03,5.026,-74.03
Colombia,2795,37,5809.120006650871,1.3237924865831843,2023-03-10 04:21:03,2.5854,-68.5247
Colombia,5683,105,6866.263124192009,1.8476156959352454,2023-03-10 04:21:03,1.0654,-73.2603
Colombia,103346,3593,9391.795242760269,3.4766706016681828,2023-03-10 04:21:03,2.5359,-75.5277
Colombia,58097,1548,6597.733260652312,2.6645093550441503,2023-03-10 04:21:03,11.3548,-72.5205
Colombia,117751,3655,8775.953123765601,3.1040076092772035,2023-03-10 04:21:03,10.4113,-74.4057
Colombia,107879,2609,10375.75428816549,2.4184503007999703,2023-03-10 04:21:03,3.272,-73.0877
Colombia,108552,3418,6657.214067038229,3.14872135013634,2023-03-10 04:21:03,1.2892,-77.3579
Colombia,125260,5192,8397.19271242196,4.144978444834743,2023-03-10 04:21:03,7.9463,-72.8988
Colombia,21998,791,6317.9601472792965,3.5957814346758794,2023-03-10 04:21:03,0.436,-75.5277
Colombia,73182,2086,13554.631934566143,2.8504277008007435,2023-03-10 04:21:03,4.461,-75.6674
Colombia,110026,2514,11662.696986753246,2.284914474760511,2023-03-10 04:21:03,5.3158,-75.9928
Colombia,10375,157,16930.483028720628,1.5132530120481928,2023-03-10 04:21:03,12.5567,-81.7185
Colombia,295934,8382,13544.900603569053,2.8323883027972454,2023-03-10 04:21:03,6.6437,-73.6536
Colombia,67157,1747,7421.786502487117,2.601366946111351,2023-03-10 04:21:03,8.814,-74.7233
Colombia,127417,4092,9578.878759151909,3.211502389791001,2023-03-10 04:21:03,4.0925,-75.1545
Colombia,0,0,,,2023-03-10 04:21:03,,
Colombia,569412,15428,12721.77173413264,2.7094616903050865,2023-03-10 04:21:03,3.8009,-76.6413
Colombia,1964,22,4814.079466627448,1.120162932790224,2023-03-10 04:21:03,0.8554,-70.812
Colombia,3477,65,3225.1780943900267,1.8694276675294794,2023-03-10 04:21:03,4.4234,-69.2878
Comoros,9008,161,1035.8845209551573,1.7873001776198933,2023-03-10 04:21:03,-11.6455,43.3333
Congo (Brazzaville),25087,388,454.6317821449878,1.5466177701598438,2023-03-10 04:21:03,-0.228,15.8277
Congo (Kinshasa),95749,1464,106.90877512371289,1.5289976918818995,2023-03-10 04:21:03,-4.0383,21.7587
Costa Rica,1209725,9245,23747.50545433416,0.7642232738845606,2023-03-10 04:21:03,9.7489,-83.7534
Cote d'Ivoire,88263,834,334.6048974013653,0.9449033003636857,2023-03-10 04:21:03,7.54,-5.5471
Croatia,1269326,17987,30919.44301809285,1.4170512539725808,2023-03-10 04:21:03,45.1,15.2
Cuba,1112643,8530,9823.260539599823,0.7666430292555654,2023-03-10 04:21:03,21.521757,-77.781167
Cyprus,650685,1330,53893.16037208424,0.2043999784842128,2023-03-10 04:21:03,35.1264,33.4299
Czechia,4618256,42491,43125.07015139254,0.920065929649634,2023-03-10 04:21:03,49.8175,15.473
Denmark,34658,28,70926.02066919062,0.08078942812626233,2023-03-10 04:21:03,61.8926,-6.9118
Denmark,11971,21,21086.09878108927,0.1754239411912121,2023-03-10 04:21:03,71.7069,-42.6043
Denmark,3404407,8296,58775.68517539872,0.2436841423484325,2023-03-10 04:21:03,56.2639,9.5018
Diamond Princess,712,13,,1.8258426966292134,2023-03-10 04:21:03,,
Djibouti,15690,189,1588.0534654788148,1.2045889101338432,2023-03-10 04:21:03,11.8251,42.5903
Dominica,15760,74,21891.625342056646,0.46954314720812185,2023-03-10 04:21:03,15.415,-61.371
Dominican Republic,660790,4384,6091.407151095733,0.6634482967357255,2023-03-10 04:21:03,18.7357,-70.1627
Ecuador,1057121,36014,5991.710054831759,3.406800167625087,2023-03-10 04:21:03,-1.8312,-78.1834
Egypt,515759,24812,503.9937546711442,4.810774024302048,2023-03-10 04:21:03,26.820553,30.802498
El Salvador,201785,4230,3110.9890057369485,2.0962906063384295,2023-03-10 04:21:03,13.7942,-88.8965
Equatorial Guinea,17229,183,1228.0245334055603,1.062162632770329,2023-03-10 04:21:03,1.6508,10.2679
Eritrea,10189,103,287.3032491575324,1.0108941014819903,2023-03-10 04:21:03,15.1794,39.7823
Estonia,615433,2946,46393.88664788596,0.4786873632060679,2023-03-10 04:21:03,58.5953,25.0136
Eswatini,74267,1425,6401.422557500491,1.9187526088303015,2023-03-10 04:21:03,-26.5225,31.4659
Ethiopia,500116,7572,435.0212362466121,1.5140487406921594,2023-03-10 04:21:03,9.145,40.4897
Fiji,68898,883,7685.700389539113,1.2816046909924816,2023-03-10 04:21:03,-17.7134,178.065
Finland,1463644,8967,26416.14317855556,0.6126489774835957,2023-03-10 04:21:03,61.92411,25.748151
France,98041,413,32824.5424900061,0.42125233320753563,2023-03-10 04:21:03,4.0,-53.0
France,78055,649,27787.07316378549,0.8314649926333996,2023-03-10 04:21:03,-17.6797,-149.4068
France,201886,1010,50455.48038497777,0.500282337556839,2023-03-10 04:21:03,16.265,-61.551
France,229020,1092,61028.87292979628,0.47681425203039035,2023-03-10 04:21:03,14.6415,-61.0242
France,42004,187,15396.626993581684,0.4451956956480335,2023-03-10 04:21:03,-12.8275,45.166244
France,80017,314,28027.85376771948,0.3924166114700626,2023-03-10 04:21:03,-20.904305,165.618042
France,494595,921,55243.00017424172,0.18621296212052285,2023-03-10 04:21:03,-21.1151,55.5364
France,5441,6,55042.99443601416,0.11027384671935306,2023-03-10 04:21:03,17.9,-62.8333
France,3452,2,59568.59361518551,0.05793742757821553,2023-03-10 04:21:03,46.8852,-56.3159
France,12271,63,31741.638428309063,0.513405590416429,2023-03-10 04:21:03,18.0708,-63.0501
France,3427,7,22414.80803191837,0.20426028596440035,2023-03-10 04:21:03,-14.2938,-178.1165
France,38618509,161512,59164.13536933634,0.4182243286502853,2023-03-10 04:21:03,46.2276,2.2137
Gabon,48981,306,2200.673217931392,0.6247320389538801,2023-03-10 04:21:03,-0.8037,11.6094
Gambia,12598,372,521.2971269485539,2.9528496586759805,2023-03-10 04:21:03,13.4432,-15.3101
Georgia,1827537,16971,45812.4048205456,0.9286268896334247,2023-03-10 04:21:03,42.3154,43.3569
Germany,5063979,19297,45746.99763756972,0.3810639815054525,2023-03-10 04:21:03,48.6616,9.3501
Germany,6741523,28680,51553.61959622752,0.4254231573488661,2023-03-10 04:21:03,48.7904,11.4979
Germany,1430661,5564,39251.8325977701,0.38891113967599594,2023-03-10 04:21:03,52.52,13.405
Germany,1113946,6506,44346.44934526101,0.5840498551994442,2023-03-10 04:21:03,52.4125,12.5316
Germany,303612,968,44453.61983993816,0.31882797781378863,2023-03-10 04:21:03,53.0793,8.8017
Germany,807013,3614,43831.316781258094,0.44782426057572805,2023-03-10 04:21:03,53.5511,9.9937
Germany,2928587,12436,46739.168078695024,0.42464164458832876,2023-03-10 04:21:03,50.6521,9.1624
Germany,711570,2770,44205.81794461615,0.38928004272243066,2023-03-10 04:21:03,53.6127,12.4296
Germany,3860773,13718,48365.77701477041,0.35531744549601857,2023-03-10 04:21:03,52.6367,9.8451
Germany,8048396,31400,44881.23925458651,0.39013984898357384,2023-03-10 04:21:03,51.4332,7.6616
Germany,1769913,6971,43328.778283821855,0.39386116718731373,2023-03-10 04:21:03,50.1183,7.309
Germany,492792,2132,49751.39044672992,0.4326368934560626,2023-03-10 04:21:03,49.3964,7.023
Germany,1955828,16814,47961.21175976971,0.8596870481453379,2023-03-10 04:21:03,51.1045,13.2017
Germany,961147,6286,43523.88081261737,0.6540102606573188,2023-03-10 04:21:03,51.9503,11.6923
Germany,1175406,3481,40577.24758277661,0.29615298883960095,2023-03-10 04:21:03,54.2194,9.6961
Germany,883914,8298,41243.779585609,0.9387791119950584,2023-03-10 04:21:03,51.011,10.8453
Germany,0,0,,,2023-03-10 04:21:03,,
Ghana,171229,1462,551.0549450655546,0.8538273306507659,2023-03-10 04:21:03,7.9465,-1.0232
Greece,5548487,34779,53232.82346367514,0.6268195275576928,2023-03-10 04:21:03,39.0742,21.8243
Grenada,19680,238,17490.379402589784,1.2093495934959348,2023-03-10 04:21:03,12.1165,-61.679
Guatemala,1238247,20182,6911.570256191166,1.6298848291172925,2023-03-10 04:21:03,15.7835,-90.2308
Guinea,38267,467,291.3851068379062,1.2203726448375884,2023-03-10 04:21:03,9.9456,-9.6966
Guinea-Bissau,8960,176,455.2850155335524,1.9642857142857142,2023-03-10 04:21:03,11.8037,-15.1804
Guyana,73075,1298,9290.466449433545,1.776257269928156,2023-03-10 04:21:03,4.860416,-58.93018
Haiti,34202,860,299.950896875282,2.51447283784574,2023-03-10 04:21:03,18.9712,-72.2852
Holy See,29,0,3584.672435105068,0.0,2023-03-10 04:21:03,41.9029,12.4534
Honduras,472250,11111,4767.982740962591,2.352779248279513,2023-03-10 04:21:03,15.2,-86.2419
Hungary,2196804,48762,22740.418307825286,2.2196791338690205,2023-03-10 04:21:03,47.1625,19.5033
Iceland,209137,263,61285.567765567765,0.1257548879442662,2023-03-10 04:21:03,64.9631,-19.0208
India,10751,129,2577.9549007759524,1.1998883824760487,2023-03-10 04:21:03,11.225999,92.968178
India,2339096,14733,4339.422566590567,0.6298587146487361,2023-03-10 04:21:03,15.9129,79.74
India,66891,296,4259.330717535903,0.44251095065105917,2023-03-10 04:21:03,27.768456,96.384277
India,746100,8035,2095.372209972304,1.0769333869454496,2023-03-10 04:21:03,26.357149,92.830441
India,851427,12303,682.2335776064483,1.4449858883967739,2023-03-10 04:21:03,25.679658,85.60484
India,99370,1182,8577.670778688844,1.189493811009359,2023-03-10 04:21:03,30.733839,76.768278
India,1177804,14146,4001.2051814649776,1.2010487313678677,2023-03-10 04:21:03,21.264705,82.035366
India,11591,4,1882.499301635148,0.03450953325856268,2023-03-10 04:21:03,20.194742,73.080901
India,2007605,26523,10729.588846557108,1.3211264168001176,2023-03-10 04:21:03,28.646519,77.10898
India,259167,4013,16338.345153664302,1.5484224457589122,2023-03-10 04:21:03,15.359682,74.057396
India,1277848,11046,2000.626279905347,0.8644220595876818,2023-03-10 04:21:03,22.694884,71.590923
India,1056770,10714,3746.787945778667,1.0138440720308108,2023-03-10 04:21:03,29.20004,76.332824
India,312820,4213,4197.82459770624,1.3467808963621253,2023-03-10 04:21:03,31.927213,77.233081
India,479513,4785,3524.1931690567326,0.9978874399651313,2023-03-10 04:21:03,33.75943,76.612638
India,442579,5331,1146.7575175258048,1.2045307165500396,2023-03-10 04:21:03,23.654536,85.557631
India,4074536,40312,6030.748984728049,0.9893641877259153,2023-03-10 04:21:03,14.70518,76.166436
India,6831358,71589,19135.755143294533,1.047946835753594,2023-03-10 04:21:03,10.450898,76.405749
India,29425,231,10727.736073994947,0.7850467289719626,2023-03-10 04:21:03,34.1526,77.5771
India,11415,52,17717.17704760279,0.45554095488392465,2023-03-10 04:21:03,13.6999972,72.1833326
India,1054978,10777,1235.9311057719597,1.021537889889647,2023-03-10 04:21:03,23.541513,78.289633
